TIME,POWER P/V(MW),POWER W/T(MW),POWER_H(MW),POWER_F(MW)
1,0.000,0.93,0.65,0.63
2,0.000,0.95,0.63,0.73
3,0.000,0.94,0.63,0.62
4,0.000,0.97,0.63,0.64
5,0.000,0.96,0.65,0.63
6,0.000,0.95,0.7,0.61
7,0.043,0.95,0.8,0.77
8,0.206,0.94,0.91,0.88
9,0.450,0.86,0.96,0.9
10,0.691,0.77,0.98,0.95
11,0.867,0.73,1,0.98
12,0.974,0.83,1,1
13,1.000,0.88,0.97,0.99
14,0.955,0.75,0.98,0.98
15,0.827,0.76,0.96,0.98
16,0.632,0.78,0.93,0.95
17,0.400,0.81,0.9,0.95
18,0.179,0.91,0.94,0.92
19,0.037,0.91,0.9,0.87
20,0.000,0.93,0.85,0.8
21,0.000,0.89,0.82,0.72
22,0.000,0.95,0.82,0.82
23,0.000,0.94,0.77,0.75
24,0.000,0.91,0.7,0.71
