Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
11,request,61.1,0.04,0.04,12,FALSE,13,offer,41.5,0.03,0,0.03,14,TRUE,0.588
4,offer,51.6,0.06,0.06,5,FALSE,11,request,61.1,0.04,1.73E-18,0.01,12,TRUE,0.095
2,request,56.8,0.1,0,3,TRUE,F3,offer,51.5,0.39,0.39,0.1,4,FALSE,0.53
14,request,56.3,0.09,0.09,15,FALSE,8,offer,44.2,0.01,0,0.01,9,TRUE,0.121
3,offer,48.3,0.09,0.09,4,FALSE,14,request,56.3,0.09,0,0.08,15,TRUE,0.64
10,request,64.1,0.06,0.06,11,FALSE,3,offer,48.3,0.09,-5.20E-18,0.01,4,TRUE,0.158
9,request,55.5,0.01,0,10,TRUE,F12,offer,50.6,0.13,0.13,0.01,13,FALSE,0.049
F4,offer,55.6,0.34,0.34,5,FALSE,10,request,64.1,0.06,-6.94E-18,0.05,11,TRUE,0.425
F2,request,54.7,0.28,0.28,3,FALSE,F8,offer,49,0.16,0,0.16,9,TRUE,0.912
F7,offer,52.4,0.95,0.95,8,FALSE,F2,request,54.7,0.28,2.78E-17,0.12,3,TRUE,0.276
5,request,63.5,0.06,0.06,6,FALSE,7,offer,50.1,0.05,0,0.05,8,TRUE,0.67
F6,offer,63,0.47,0.47,7,FALSE,5,request,63.5,0.06,-5.20E-18,0.01,6,TRUE,0.005
6,request,59.9,0.06,0,7,TRUE,F12,offer,50.6,0.13,0.12,0.06,13,FALSE,0.558
,,,,,,,,,,,,0.7,,,5.027
