ID,type,cost,initial quantity,quantity,node,completely matched
F5,offer,67.5,0.14,0.14,6,False
1,offer,51.2,0.04,0.04,2,False
F9,offer,59.3,0.06,0.019999999999999997,10,False
F11,offer,65.1,0.15,0.15,12,False
3,offer,48.3,0.09,0.009999999999999995,4,False
F12,offer,50.6,0.13,0.13,13,False
F14,offer,59.7,0.23,0.17,15,False
13,offer,41.5,0.03,0.019999999999999997,14,False
F4,offer,55.6,0.34,0.34,5,False
F8,offer,49.0,0.16,0.16,9,False
F10,offer,67.9,0.75,0.75,11,False
F3,offer,51.5,0.39,0.10999999999999999,4,False
F7,offer,52.4,0.95,0.95,8,False
7,offer,50.1,0.05,0.05,8,False
F6,offer,63.0,0.47,0.47,7,False
F1,offer,55.2,0.22,0.06,2,False
F13,request,39.5,0.18,0.18,14,False
