Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
11,request,61.1,0.04,0.04,12,FALSE,13,offer,41.5,0.03,0,0.03,14,TRUE,0.588
4,offer,51.6,0.06,0.06,5,FALSE,11,request,61.1,0.04,1.73E-18,0.01,12,TRUE,0.095
2,request,56.8,0.1,0,3,TRUE,F1,offer,55.2,0.22,0.22,0.1,2,FALSE,0.16
14,request,56.3,0.09,0.09,15,FALSE,8,offer,44.2,0.01,0,0.01,9,TRUE,0.121
3,offer,48.3,0.09,0.09,4,FALSE,14,request,56.3,0.09,0,0.08,15,TRUE,0.64
10,request,64.1,0.06,0.06,11,FALSE,3,offer,48.3,0.09,-5.20E-18,0.01,4,TRUE,0.158
9,request,55.5,0.01,0,10,TRUE,1,offer,51.2,0.04,0.04,0.01,2,FALSE,0.043
F4,offer,55.6,0.34,0.34,5,FALSE,10,request,64.1,0.06,-6.94E-18,0.05,11,TRUE,0.425
F2,request,54.7,0.28,0.28,3,FALSE,1,offer,51.2,0.04,0,0.03,2,TRUE,0.105
F7,offer,52.4,0.95,0.95,8,FALSE,F2,request,54.7,0.28,0,0.25,3,TRUE,0.575
5,request,63.5,0.06,0.06,6,FALSE,4,offer,51.6,0.06,-6.94E-18,0.05,5,TRUE,0.595
F6,offer,63,0.47,0.47,7,FALSE,5,request,63.5,0.06,-5.20E-18,0.01,6,TRUE,0.005
6,request,59.9,0.06,0.06,7,FALSE,7,offer,50.1,0.05,0,0.05,8,TRUE,0.49
F9,offer,59.3,0.06,0.06,10,FALSE,6,request,59.9,0.06,-5.20E-18,0.01,7,TRUE,0.006
,,,,,,,,,,,,0.7,,,4.006
