id,type,cost,initial quantity,quantity,actual quantity,node,completely matched,fixed
F5,offer,67.5,0.14,0.14,0,6,FALSE,FALSE
F9,offer,59.3,0.06,0.06,0,10,FALSE,FALSE
F14,offer,59.7,0.23,0.23,0,15,FALSE,FALSE
13,offer,41.5,0.03,0.03,0,14,FALSE,FALSE
1,offer,51.2,0.04,0.04,0,2,FALSE,FALSE
F1,offer,55.2,0.22,0.22,0,2,FALSE,FALSE
F3,offer,51.5,0.39,0.39,0,4,FALSE,FALSE
11,request,61.1,0.04,0.04,0,12,FALSE,FALSE
F11,offer,65.1,0.15,0.15,0,12,FALSE,FALSE
4,offer,51.6,0.06,0.06,0,5,FALSE,FALSE
8,offer,44.2,0.01,0.01,0,9,FALSE,TRUE
2,request,56.8,0.1,0.1,0,3,FALSE,TRUE
14,request,56.3,0.09,0.09,0,15,FALSE,FALSE
3,offer,48.3,0.09,0.09,0,4,FALSE,FALSE
F12,offer,50.6,0.13,0.13,0,13,FALSE,FALSE
10,request,64.1,0.06,0.06,0,11,FALSE,FALSE
9,request,55.5,0.01,0.01,0,10,FALSE,FALSE
F4,offer,55.6,0.34,0.34,0,5,FALSE,FALSE
F8,offer,49,0.16,0.16,0,9,FALSE,FALSE
F10,offer,67.9,0.75,0.75,0,11,FALSE,FALSE
F2,request,54.7,0.28,0.28,0,3,FALSE,FALSE
F7,offer,52.4,0.95,0.95,0,8,FALSE,FALSE
7,offer,50.1,0.05,0.05,0,8,FALSE,FALSE
5,request,63.5,0.06,0.06,0,6,FALSE,FALSE
F6,offer,63,0.47,0.47,0,7,FALSE,FALSE
6,request,59.9,0.06,0.06,0,7,FALSE,FALSE
F13,request,39.5,0.18,0.18,0,14,FALSE,FALSE
