id,type,cost,initial quantity,quantity,actual quantity,node,completely matched,fixed
F2,request,59.6,0.32,0.32,0,3,FALSE,FALSE
F3,request,53.5,0.45,0.45,0,4,FALSE,FALSE
F13,request,58.8,0.2,0.2,0,14,FALSE,FALSE
11,request,61.4,0.01,0.01,0,12,FALSE,FALSE
F6,offer,68.1,0.68,0.68,0,7,FALSE,FALSE
F1,request,49.4,0.21,0.21,0,2,FALSE,FALSE
F7,offer,60.7,0.9,0.9,0,8,FALSE,FALSE
F11,offer,66.1,0.18,0.18,0,12,FALSE,FALSE
F4,request,61.1,0.36,0.36,0,5,FALSE,FALSE
F10,offer,60.5,0.49,0.49,0,11,FALSE,FALSE
F9,offer,61.1,0.09,0.09,0,10,FALSE,FALSE
F12,request,53.2,0.11,0.11,0,13,FALSE,FALSE
F5,request,58.4,0.29,0.29,0,6,FALSE,FALSE
14,request,57.8,0.02,0.02,0,15,FALSE,FALSE
F14,request,53.8,0.39,0.39,0,15,FALSE,FALSE
7,request,56.2,0.02,0.02,0,8,FALSE,FALSE
F8,offer,55.6,0.16,0.16,0,9,FALSE,FALSE
1,request,52.7,0.03,0.03,0,2,FALSE,FALSE
,,,,4.91,,,,
