ID,type,cost,initial quantity,quantity,node,completely matched
F3,request,53.5,0.45,0.45,4,False
F13,request,58.8,0.2,0.2,14,False
F6,offer,68.1,0.68,0.68,7,False
F1,request,49.4,0.21,0.21,2,False
F11,offer,66.1,0.18,0.18,12,False
F4,request,61.1,0.36,0.204,5,False
F7,offer,60.7,0.9,0.734,8,False
F10,offer,60.5,0.49,0.49,11,False
F9,offer,61.1,0.09,0.09,10,False
F12,request,53.2,0.11,0.11,13,False
F5,request,58.4,0.29,0.29,6,False
F14,request,53.8,0.39,0.39,15,False
1,request,52.7,0.03,0.03,2,False
F2,request,59.6,0.32,0.26,3,False
F8,offer,55.6,0.16,0.06000000000000001,9,False
