id,type,cost,initial quantity,quantity,actual quantity,node,completely matched,fixed
2,offer,50.9,0.03,0.03,0,3,FALSE,TRUE
10,request,56.9,0.53,0.53,0,11,FALSE,FALSE
F1,request,55.8,0.2,0.2,0,2,FALSE,FALSE
14,offer,45.4,0.16,0.16,0,15,FALSE,FALSE
7,offer,52.2,0.19,0.19,0,8,FALSE,FALSE
F12,request,47.5,0.13,0.13,0,13,FALSE,FALSE
1,request,57.9,0.15,0.15,0,2,FALSE,FALSE
6,offer,40.5,0.23,0.23,0,7,FALSE,FALSE
F3,offer,44.7,0.39,0.39,0,4,FALSE,FALSE
F8,offer,57.1,0.18,0.18,0,9,FALSE,FALSE
F9,offer,59.1,0.07,0.07,0,10,FALSE,FALSE
F14,offer,49.5,0.27,0.27,0,15,FALSE,FALSE
9,request,55.2,0.07,0.07,0,10,FALSE,FALSE
F10,offer,61.6,0.41,0.41,0,11,FALSE,FALSE
11,request,64.9,0.1,0.1,0,12,FALSE,FALSE
8,offer,54.3,0.02,0.02,0,9,FALSE,TRUE
4,offer,47.6,0.2,0.2,0,5,FALSE,FALSE
5,request,60.6,0.15,0.15,0,6,FALSE,FALSE
F7,offer,56.1,0.68,0.68,0,8,FALSE,FALSE
F13,request,49.1,0.16,0.16,0,14,FALSE,FALSE
F6,offer,42.7,0.59,0.59,0,7,FALSE,FALSE
F4,offer,49.7,0.26,0.26,0,5,FALSE,FALSE
F5,request,56,0.24,0.24,0,6,FALSE,FALSE
12,offer,50.5,0.03,0.03,0,13,FALSE,FALSE
3,offer,42.2,0.3,0.3,0,4,FALSE,FALSE
F2,request,46.1,0.26,0.26,0,3,FALSE,FALSE
F11,offer,68.4,0.1,0.1,0,12,FALSE,FALSE
13,offer,52.3,0.1,0.1,0,14,FALSE,FALSE
