Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
10,request,56.9,0.53,0.53,11,FALSE,2,offer,50.9,0.03,0,0.03,3,TRUE,0.18
14,offer,45.4,0.16,0.16,15,FALSE,10,request,56.9,0.53,0.5,0.089,11,FALSE,1.0235
7,offer,52.2,0.19,0,8,TRUE,F1,request,55.8,0.2,0.2,0.19,2,FALSE,0.684
6,offer,40.5,0.23,0.23,7,FALSE,F1,request,55.8,0.2,8.67E-18,0.01,2,TRUE,0.153
F3,offer,44.7,0.39,0.39,4,FALSE,10,request,56.9,0.53,0.411,0.125,11,FALSE,1.525
F8,offer,57.1,0.18,0.18,9,FALSE,1,request,57.9,0.15,0,0.15,2,TRUE,0.12
9,request,55.2,0.07,0,10,TRUE,6,offer,40.5,0.23,0.22,0.07,7,FALSE,1.029
11,request,64.9,0.1,0.1,12,FALSE,F8,offer,57.1,0.18,0,0.03,9,TRUE,0.234
8,offer,54.3,0.02,0,9,TRUE,10,request,56.9,0.53,0.286,0.02,11,FALSE,0.052
4,offer,47.6,0.2,0.2,5,FALSE,11,request,64.9,0.1,0,0.07,12,TRUE,1.211
5,request,60.6,0.15,0.15,6,FALSE,F9,offer,59.1,0.07,0,0.07,10,TRUE,0.105
F7,offer,56.1,0.68,0.68,8,FALSE,5,request,60.6,0.15,-1.39E-17,0.08,6,TRUE,0.36
F13,request,49.1,0.16,0.16,14,FALSE,4,offer,47.6,0.2,0,0.13,5,TRUE,0.195
F6,offer,42.7,0.59,0.59,7,FALSE,F13,request,49.1,0.16,0,0.03,14,TRUE,0.192
F4,offer,49.7,0.26,0.26,5,FALSE,10,request,56.9,0.53,0.266,0.105,11,FALSE,0.756
F5,request,56,0.24,0.24,6,FALSE,6,offer,40.5,0.23,0,0.15,7,TRUE,2.325
12,offer,50.5,0.03,0,13,TRUE,10,request,56.9,0.53,0.161,0.03,11,FALSE,0.192
F2,request,46.1,0.26,0,3,TRUE,F6,offer,42.7,0.59,0.56,0.26,7,FALSE,0.884
13,offer,52.3,0.1,0.1,14,FALSE,F5,request,56,0.24,0,0.09,6,TRUE,0.333
F12,request,47.5,0.13,0,13,TRUE,F6,offer,42.7,0.59,0.3,0.13,7,FALSE,0.624
F7,offer,56.1,0.68,0.6,8,FALSE,10,request,56.9,0.53,2.78E-17,0.131,11,TRUE,0.1048
,,,,,,,,,,,,1.99,,,12.2823
