Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
F14,request,51.2,0.22,0.22,15,FALSE,F8,offer,49.4,0.15,0,0.15,9,TRUE,0.27
F10,offer,44.7,0.6,0.6,11,FALSE,2,request,63.6,0.47,0,0.47,3,TRUE,8.883
12,request,57.7,0.25,0,13,TRUE,14,offer,53.6,0.25,0,0.25,15,TRUE,1.025
3,offer,48.7,0.33,0.33,4,FALSE,F14,request,51.2,0.22,0,0.07,15,TRUE,0.175
10,offer,41.5,0.76,0.76,11,FALSE,F1,request,41.8,0.14,0,0.14,2,TRUE,0.042
6,request,52.8,0.96,0.96,7,FALSE,10,offer,41.5,0.76,0,0.62,11,TRUE,7.006
7,request,51.8,1.19,1.19,8,FALSE,5,offer,46.8,0.33,0,0.33,6,TRUE,1.65
1,offer,43.9,0.24,0,2,TRUE,6,request,52.8,0.96,0.34,0.24,7,FALSE,2.136
13,request,51.4,0.25,0,14,TRUE,3,offer,48.7,0.33,0.26,0.25,4,FALSE,0.675
4,request,50.1,0.49,0.49,5,FALSE,F10,offer,44.7,0.6,0,0.13,11,TRUE,0.702
8,offer,47.1,0.11,0,9,TRUE,7,request,51.8,1.19,0.86,0.11,8,FALSE,0.517
F3,offer,52.5,0.27,0.27,4,FALSE,6,request,52.8,0.96,-2.78E-17,0.1,7,TRUE,0.03
11,offer,49.6,0.12,0,12,TRUE,4,request,50.1,0.49,0.36,0.12,5,FALSE,0.06
9,offer,50.2,0.05,0,10,TRUE,7,request,51.8,1.19,0.75,0.05,8,FALSE,0.08
3,offer,48.7,0.33,8.67E-18,4,TRUE,4,request,50.1,0.49,0.24,0.01,5,FALSE,0.014
,,,,,,,,,,,,3.04,,,23.265
