id,type,cost,initial quantity,quantity,actual quantity,node,completely matched,fixed
14,offer,53.6,0.25,0.25,0,15,FALSE,FALSE
2,request,63.6,0.47,0.47,0,3,FALSE,TRUE
F6,offer,57.2,0.26,0.26,0,7,FALSE,FALSE
F2,offer,66.3,0.1,0.1,0,3,FALSE,FALSE
F1,request,41.8,0.14,0.14,0,2,FALSE,FALSE
F8,offer,49.4,0.15,0.15,0,9,FALSE,FALSE
F13,offer,56.3,0.05,0.05,0,14,FALSE,FALSE
F14,request,51.2,0.22,0.22,0,15,FALSE,FALSE
F10,offer,44.7,0.6,0.6,0,11,FALSE,FALSE
12,request,57.7,0.25,0.25,0,13,FALSE,FALSE
F12,offer,62.3,0.06,0.06,0,13,FALSE,FALSE
3,offer,48.7,0.33,0.33,0,4,FALSE,FALSE
10,offer,41.5,0.76,0.76,0,11,FALSE,FALSE
F3,offer,52.5,0.27,0.27,0,4,FALSE,FALSE
11,offer,49.6,0.12,0.12,0,12,FALSE,FALSE
5,offer,46.8,0.33,0.33,0,6,FALSE,FALSE
9,offer,50.2,0.05,0.05,0,10,FALSE,FALSE
F11,offer,54.2,0.14,0.14,0,12,FALSE,FALSE
6,request,52.8,0.96,0.96,0,7,FALSE,FALSE
7,request,51.8,1.19,1.19,0,8,FALSE,FALSE
1,offer,43.9,0.24,0.24,0,2,FALSE,FALSE
F7,offer,54.3,0.25,0.25,0,8,FALSE,FALSE
13,request,51.4,0.25,0.25,0,14,FALSE,FALSE
4,request,50.1,0.49,0.49,0,5,FALSE,FALSE
F4,request,47.6,0.13,0.13,0,5,FALSE,FALSE
F5,request,43,0.26,0.26,0,6,FALSE,FALSE
8,offer,47.1,0.11,0.11,0,9,FALSE,TRUE
F9,offer,53.9,0.04,0.04,0,10,FALSE,FALSE
