Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
F13,offer,56.9,0.13,0,14,TRUE,1,request,59.1,0.36,0.36,0.13,2,FALSE,0.286
14,offer,47.6,0.16,0,15,TRUE,1,request,59.1,0.36,0.23,0.16,2,FALSE,1.84
3,offer,41.6,0.08,0.08,4,FALSE,1,request,59.1,0.36,-2.78E-17,0.07,2,TRUE,1.225
F5,request,52.1,0.15,0.15,6,FALSE,3,offer,41.6,0.08,-5.20E-18,0.01,4,TRUE,0.105
9,request,54.7,0.14,0.14,10,FALSE,5,offer,54.5,0.07,0,0.07,6,TRUE,0.014
13,offer,54.3,0.04,0,14,TRUE,9,request,54.7,0.14,0.07,0.04,10,FALSE,0.016
F6,offer,47.1,0.55,0.55,7,FALSE,8,request,60.9,0.23,0,0.23,9,TRUE,3.174
6,offer,44.1,0.7,0.7,7,FALSE,2,request,54.7,0.49,0,0.49,3,TRUE,5.194
10,request,64.4,1.04,1.04,11,FALSE,6,offer,44.1,0.7,-2.78E-17,0.21,7,TRUE,4.263
F14,offer,52.6,0.27,0,15,TRUE,10,request,64.4,1.04,0.83,0.27,11,FALSE,3.186
F7,offer,54.3,0.58,0.58,8,FALSE,10,request,64.4,1.04,0.56,0.498,11,FALSE,5.0298
7,offer,49.8,0.04,0.04,8,FALSE,9,request,54.7,0.14,6.94E-18,0.03,10,TRUE,0.147
F12,offer,46.5,0.1,0,13,TRUE,F5,request,52.1,0.15,0.14,0.1,6,FALSE,0.56
4,request,51.4,0.48,0.48,5,FALSE,F6,offer,47.1,0.55,5.55E-17,0.32,7,TRUE,1.376
12,offer,41.9,0.11,0.11,13,FALSE,F5,request,52.1,0.15,-2.08E-17,0.04,6,TRUE,0.408
11,offer,50.5,0.16,0,12,TRUE,4,request,51.4,0.48,-2.78E-17,0.16,5,TRUE,0.144
F2,request,49.9,0.15,0.15,3,FALSE,12,offer,41.9,0.11,0,0.07,13,TRUE,0.56
F2,request,49.9,0.15,0.08,3,FALSE,7,offer,49.8,0.04,1.73E-18,0.01,8,TRUE,0.001
,,,,,,,,,,,,2.908,,,27.5288
