Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
F13,offer,56.9,0.13,0,14,TRUE,1,request,59.1,0.36,0.36,0.13,2,FALSE,0.286
14,offer,47.6,0.16,0,15,TRUE,1,request,59.1,0.36,0.23,0.16,2,FALSE,1.84
3,offer,41.6,0.08,0,4,TRUE,F2,request,49.9,0.15,0.15,0.08,3,FALSE,0.664
5,offer,54.5,0.07,0,6,TRUE,1,request,59.1,0.36,-2.78E-17,0.07,2,TRUE,0.322
13,offer,54.3,0.04,0,14,TRUE,9,request,54.7,0.14,0.14,0.04,10,FALSE,0.016
F6,offer,47.1,0.55,0.55,7,FALSE,2,request,54.7,0.49,0,0.49,3,TRUE,3.724
6,offer,44.1,0.7,0.7,7,FALSE,8,request,60.9,0.23,0,0.23,9,TRUE,3.864
10,request,64.4,1.04,1.04,11,FALSE,6,offer,44.1,0.7,0,0.47,7,TRUE,9.541
F14,offer,52.6,0.27,0,15,TRUE,10,request,64.4,1.04,0.57,0.27,11,FALSE,3.186
F7,offer,54.3,0.58,0.58,8,FALSE,10,request,64.4,1.04,0.3,0.238,11,FALSE,2.4038
7,offer,49.8,0.04,0,8,TRUE,F2,request,49.9,0.15,0.07,0.04,3,FALSE,0.004
F12,offer,46.5,0.1,0,13,TRUE,F5,request,52.1,0.15,0.15,0.1,6,FALSE,0.56
4,request,51.4,0.48,0.48,5,FALSE,F6,offer,47.1,0.55,5.55E-17,0.06,7,TRUE,0.258
F11,offer,53.7,0.13,0.13,12,FALSE,9,request,54.7,0.14,0,0.1,10,TRUE,0.1
12,offer,41.9,0.11,0,13,TRUE,4,request,51.4,0.48,0.42,0.11,5,FALSE,1.045
11,offer,50.5,0.16,0,12,TRUE,4,request,51.4,0.48,0.31,0.16,5,FALSE,0.144
,,,,,,,,,,,,2.748,,,27.9578
