ID,type,cost,initial quantity,quantity,node,completely matched
F8,offer,64.8,0.07,0.07,9,False
F3,request,36.8,0.2,0.2,4,False
F9,offer,57.0,0.04,0.04,10,False
F1,offer,63.9,0.08,0.08,2,False
F10,offer,67.3,0.23,0.23,11,False
F7,offer,54.3,0.58,0.34199999999999997,8,False
10,request,64.4,1.04,0.062000000000000055,11,False
F2,request,49.9,0.15,0.029999999999999992,3,False
F5,request,52.1,0.15,0.04999999999999999,6,False
F4,request,47.6,0.1,0.1,5,False
F11,offer,53.7,0.13,0.03,12,False
4,request,51.4,0.48,0.15,5,False
