Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
F13,offer,56.9,0.13,0,14,TRUE,1,request,59.1,0.36,0.36,0.13,2,FALSE,0.286
14,offer,47.6,0.16,0.16,15,FALSE,F2,request,49.9,0.15,0,0.15,3,TRUE,0.345
3,offer,41.6,0.08,0,4,TRUE,1,request,59.1,0.36,0.23,0.08,2,FALSE,1.4
F5,request,52.1,0.15,0.15,6,FALSE,14,offer,47.6,0.16,8.67E-18,0.01,15,TRUE,0.045
5,offer,54.5,0.07,0,6,TRUE,1,request,59.1,0.36,0.15,0.07,2,FALSE,0.322
13,offer,54.3,0.04,0,14,TRUE,9,request,54.7,0.14,0.14,0.04,10,FALSE,0.016
F6,offer,47.1,0.55,0.55,7,FALSE,2,request,54.7,0.49,0,0.49,3,TRUE,3.724
6,offer,44.1,0.7,0.7,7,FALSE,8,request,60.9,0.23,0,0.23,9,TRUE,3.864
F9,offer,57,0.04,0,10,TRUE,1,request,59.1,0.36,0.08,0.04,2,FALSE,0.084
10,request,64.4,1.04,1.04,11,FALSE,F1,offer,63.9,0.08,0,0.08,2,TRUE,0.04
F14,offer,52.6,0.27,0.27,15,FALSE,9,request,54.7,0.14,0,0.1,10,TRUE,0.21
F7,offer,54.3,0.58,0.58,8,FALSE,1,request,59.1,0.36,-4.16E-17,0.04,2,TRUE,0.192
7,offer,49.8,0.04,0,8,TRUE,F5,request,52.1,0.15,0.14,0.04,6,FALSE,0.092
F12,offer,46.5,0.1,0,13,TRUE,F5,request,52.1,0.15,-2.78E-17,0.1,6,TRUE,0.56
4,request,51.4,0.48,0.48,5,FALSE,F6,offer,47.1,0.55,5.55E-17,0.06,7,TRUE,0.258
F4,request,47.6,0.1,0,5,TRUE,6,offer,44.1,0.7,0.47,0.1,7,FALSE,0.35
F11,offer,53.7,0.13,0,12,TRUE,10,request,64.4,1.04,0.96,0.13,11,FALSE,1.391
12,offer,41.9,0.11,0,13,TRUE,4,request,51.4,0.48,0.42,0.11,5,FALSE,1.045
11,offer,50.5,0.16,0,12,TRUE,4,request,51.4,0.48,0.31,0.16,5,FALSE,0.144
F14,offer,52.6,0.27,0,15,TRUE,10,request,64.4,1.04,0.83,0.17,11,FALSE,2.006
F7,offer,54.3,0.58,-1.11E-16,8,TRUE,10,request,64.4,1.04,0.66,0.54,11,FALSE,5.454
6,offer,44.1,0.7,0.37,7,FALSE,4,request,51.4,0.48,0,0.15,5,TRUE,1.095
6,offer,44.1,0.7,0.22,7,FALSE,10,request,64.4,1.04,0.12,0.058,11,FALSE,1.1774
,,,,,,,,,,,,3.078,,,24.1004
