id,type,cost,initial quantity,quantity,actual quantity,node,completely matched,fixed
1,request,59.1,0.36,0.36,0,2,FALSE,FALSE
F13,offer,56.9,0.13,0.13,0,14,FALSE,FALSE
F8,offer,64.8,0.07,0.07,0,9,FALSE,FALSE
F2,request,49.9,0.15,0.15,0,3,FALSE,FALSE
2,request,54.7,0.49,0.49,0,3,FALSE,TRUE
14,offer,47.6,0.16,0.16,0,15,FALSE,FALSE
F3,request,36.8,0.2,0.2,0,4,FALSE,FALSE
3,offer,41.6,0.08,0.08,0,4,FALSE,FALSE
F5,request,52.1,0.15,0.15,0,6,FALSE,FALSE
5,offer,54.5,0.07,0.07,0,6,FALSE,FALSE
8,request,60.9,0.23,0.23,0,9,FALSE,TRUE
9,request,54.7,0.14,0.14,0,10,FALSE,FALSE
13,offer,54.3,0.04,0.04,0,14,FALSE,FALSE
F6,offer,47.1,0.55,0.55,0,7,FALSE,FALSE
6,offer,44.1,0.7,0.7,0,7,FALSE,FALSE
F9,offer,57,0.04,0.04,0,10,FALSE,FALSE
F1,offer,63.9,0.08,0.08,0,2,FALSE,FALSE
F10,offer,67.3,0.23,0.23,0,11,FALSE,FALSE
10,request,64.4,1.04,1.04,0,11,FALSE,FALSE
F14,offer,52.6,0.27,0.27,0,15,FALSE,FALSE
F7,offer,54.3,0.58,0.58,0,8,FALSE,FALSE
7,offer,49.8,0.04,0.04,0,8,FALSE,FALSE
F12,offer,46.5,0.1,0.1,0,13,FALSE,FALSE
4,request,51.4,0.48,0.48,0,5,FALSE,FALSE
F4,request,47.6,0.1,0.1,0,5,FALSE,FALSE
F11,offer,53.7,0.13,0.13,0,12,FALSE,FALSE
12,offer,41.9,0.11,0.11,0,13,FALSE,FALSE
11,offer,50.5,0.16,0.16,0,12,FALSE,FALSE
