ID,type,cost,initial quantity,quantity,node,completely matched
F13,request,47.9,0.1,0.1,14,False
1,request,51.1,0.22,0.22,2,False
14,offer,53.6,0.23,0.01200000000000001,15,False
F2,request,46.6,0.26,0.26,3,False
F1,request,47.7,0.14,0.14,2,False
F5,request,47.0,0.16,0.16,6,False
F14,request,50.7,0.23,0.23,15,False
F6,offer,65.4,0.33,0.33,7,False
F8,offer,64.0,0.06,0.06,9,False
7,request,57.9,1.03,0.6399999999999999,8,False
5,offer,51.7,0.1,0.08,6,False
10,request,55.1,0.91,0.8220000000000001,11,False
F3,request,52.1,0.35,0.35,4,False
6,request,63.4,0.82,0.03,7,False
F12,request,50.6,0.17,0.17,13,False
