id,type,cost,initial quantity,quantity,actual quantity,node,completely matched,fixed
F13,request,47.9,0.1,0.1,0,14,FALSE,FALSE
12,offer,53.2,0.05,0.05,0,13,FALSE,FALSE
11,request,56.7,0.15,0.15,0,12,FALSE,FALSE
14,offer,53.6,0.23,0.23,0,15,FALSE,FALSE
F11,offer,61.7,0.07,0.07,0,12,FALSE,FALSE
8,request,61.6,0.21,0.21,0,9,FALSE,TRUE
2,offer,48.9,0.08,0.08,0,3,FALSE,TRUE
1,request,51.1,0.22,0.22,0,2,FALSE,FALSE
9,request,59.6,0.12,0.12,0,10,FALSE,FALSE
13,offer,52,0.07,0.07,0,14,FALSE,FALSE
F2,request,46.6,0.26,0.26,0,3,FALSE,FALSE
F1,request,47.7,0.14,0.14,0,2,FALSE,FALSE
3,offer,54.2,0.2,0.2,0,4,FALSE,FALSE
6,request,63.4,0.82,0.82,0,7,FALSE,FALSE
4,offer,52.2,0.03,0.03,0,5,FALSE,FALSE
F5,request,47,0.16,0.16,0,6,FALSE,FALSE
7,request,57.9,1.03,1.03,0,8,FALSE,FALSE
F14,request,50.7,0.23,0.23,0,15,FALSE,FALSE
10,request,55.1,0.91,0.91,0,11,FALSE,FALSE
F6,offer,65.4,0.33,0.33,0,7,FALSE,FALSE
F10,offer,59.4,0.3,0.3,0,11,FALSE,FALSE
F8,offer,64,0.06,0.06,0,9,FALSE,FALSE
F4,offer,54.9,0.32,0.32,0,5,FALSE,FALSE
F7,offer,62.4,0.36,0.36,0,8,FALSE,FALSE
5,offer,51.7,0.1,0.1,0,6,FALSE,FALSE
F3,request,52.1,0.35,0.35,0,4,FALSE,FALSE
F9,offer,62.1,0.03,0.03,0,10,FALSE,FALSE
F12,request,50.6,0.17,0.17,0,13,FALSE,FALSE
