Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
F14,request,51.2,0.22,0.22,15,FALSE,F8,offer,49.4,0.15,0,0.15,9,TRUE,0.27
F10,offer,44.7,0.6,0.6,11,FALSE,2,request,63.6,0.47,0,0.47,3,TRUE,8.883
12,request,57.7,0.25,0.25,13,FALSE,F10,offer,44.7,0.6,0,0.13,11,TRUE,1.69
3,offer,48.7,0.33,0.33,4,FALSE,12,request,57.7,0.25,0,0.12,13,TRUE,1.08
10,offer,41.5,0.76,0.76,11,FALSE,F14,request,51.2,0.22,0,0.07,15,TRUE,0.679
6,request,52.8,0.96,0.96,7,FALSE,10,offer,41.5,0.76,0,0.69,11,TRUE,7.797
7,request,51.8,1.19,1.19,8,FALSE,5,offer,46.8,0.33,0,0.33,6,TRUE,1.65
1,offer,43.9,0.24,0,2,TRUE,6,request,52.8,0.96,0.27,0.24,7,FALSE,2.136
13,request,51.4,0.25,0.25,14,FALSE,3,offer,48.7,0.33,2.78E-17,0.21,4,TRUE,0.567
4,request,50.1,0.49,0.49,5,FALSE,11,offer,49.6,0.12,0,0.12,12,TRUE,0.06
8,offer,47.1,0.11,0,9,TRUE,7,request,51.8,1.19,0.86,0.11,8,FALSE,0.517
F3,offer,52.5,0.27,0.27,4,FALSE,6,request,52.8,0.96,2.78E-17,0.03,7,TRUE,0.009
9,offer,50.2,0.05,0,10,TRUE,7,request,51.8,1.19,0.75,0.05,8,FALSE,0.08
,,,,,,,,,,,,2.72,,,25.418
