ID,type,cost,initial quantity,quantity,node,completely matched
F6,offer,57.2,0.26,0.26,7,False
F2,offer,66.3,0.1,0.1,3,False
F13,offer,56.3,0.05,0.05,14,False
F12,offer,62.3,0.06,0.06,13,False
F11,offer,54.2,0.14,0.14,12,False
F7,offer,54.3,0.25,0.25,8,False
F4,request,47.6,0.13,0.13,5,False
F5,request,43.0,0.26,0.26,6,False
F9,offer,53.9,0.04,0.04,10,False
F3,offer,52.5,0.27,0.17,4,False
7,request,51.8,1.19,0.6999999999999998,8,False
4,request,50.1,0.49,0.22999999999999998,5,False
