Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
10,request,56.9,0.53,0.53,11,FALSE,2,offer,50.9,0.03,0,0.03,3,TRUE,0.18
14,offer,45.4,0.16,0.16,15,FALSE,10,request,56.9,0.53,0.5,0.089,11,FALSE,1.0235
7,offer,52.2,0.19,0,8,TRUE,10,request,56.9,0.53,0.411,0.19,11,FALSE,0.893
6,offer,40.5,0.23,0.23,7,FALSE,10,request,56.9,0.53,2.78E-17,0.221,11,TRUE,3.6244
9,request,55.2,0.07,0.07,10,FALSE,6,offer,40.5,0.23,8.67E-18,0.009,7,TRUE,0.1323
8,offer,54.3,0.02,0,9,TRUE,9,request,55.2,0.07,0.061,0.02,10,FALSE,0.018
4,offer,47.6,0.2,0.2,5,FALSE,9,request,55.2,0.07,6.94E-18,0.041,10,TRUE,0.3116
5,request,60.6,0.15,0,6,TRUE,4,offer,47.6,0.2,0.159,0.15,5,FALSE,1.95
12,offer,50.5,0.03,0,13,TRUE,1,request,57.9,0.15,0.15,0.03,2,FALSE,0.222
3,offer,42.2,0.3,0.3,4,FALSE,1,request,57.9,0.15,0,0.12,2,TRUE,1.884
13,offer,52.3,0.1,0.1,14,FALSE,11,request,64.9,0.1,0.1,0.048,12,FALSE,0.6048
4,offer,47.6,0.2,8.67E-18,5,TRUE,11,request,64.9,0.1,0.052,0.009,12,FALSE,0.1557
3,offer,42.2,0.3,0.18,4,FALSE,11,request,64.9,0.1,0.043,0.005,12,FALSE,0.1135
,,,,,,,,,,,,0.962,,,11.1128
