Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
10,request,56.9,0.53,0.53,11,FALSE,2,offer,50.9,0.03,0,0.03,3,TRUE,0.18
14,offer,45.4,0.16,0.16,15,FALSE,10,request,56.9,0.53,0.5,0.089,11,FALSE,1.0235
7,offer,52.2,0.19,0,8,TRUE,10,request,56.9,0.53,0.411,0.19,11,FALSE,0.893
6,offer,40.5,0.23,0.23,7,FALSE,1,request,57.9,0.15,0,0.15,2,TRUE,2.61
9,request,55.2,0.07,0,10,TRUE,6,offer,40.5,0.23,0.08,0.07,7,FALSE,1.029
11,request,64.9,0.1,0.1,12,FALSE,6,offer,40.5,0.23,8.67E-18,0.01,7,TRUE,0.244
8,offer,54.3,0.02,0,9,TRUE,10,request,56.9,0.53,0.221,0.02,11,FALSE,0.052
4,offer,47.6,0.2,0.2,5,FALSE,11,request,64.9,0.1,1.39E-17,0.09,12,TRUE,1.557
5,request,60.6,0.15,0.15,6,FALSE,4,offer,47.6,0.2,1.39E-17,0.11,5,TRUE,1.43
12,offer,50.5,0.03,0,13,TRUE,10,request,56.9,0.53,0.201,0.03,11,FALSE,0.192
3,offer,42.2,0.3,0.3,4,FALSE,5,request,60.6,0.15,-6.94E-18,0.04,6,TRUE,0.736
13,offer,52.3,0.1,0.1,14,FALSE,10,request,56.9,0.53,0.171,0.048,11,FALSE,0.2208
3,offer,42.2,0.3,0.26,4,FALSE,10,request,56.9,0.53,0.123,0.085,11,FALSE,1.2495
,,,,,,,,,,,,0.962,,,11.4168
