id,type,cost,initial quantity,quantity,actual quantity,node,completely matched,fixed
14,offer,53.6,0.25,0.25,0,15,FALSE,FALSE
2,request,63.6,0.47,0.47,0,3,FALSE,TRUE
12,request,57.7,0.25,0.25,0,13,FALSE,FALSE
3,offer,48.7,0.33,0.33,0,4,FALSE,FALSE
10,offer,41.5,0.76,0.76,0,11,FALSE,FALSE
11,offer,49.6,0.12,0.12,0,12,FALSE,FALSE
5,offer,46.8,0.33,0.33,0,6,FALSE,FALSE
9,offer,50.2,0.05,0.05,0,10,FALSE,FALSE
6,request,52.8,0.96,0.96,0,7,FALSE,FALSE
7,request,51.8,1.19,1.19,0,8,FALSE,FALSE
1,offer,43.9,0.24,0.24,0,2,FALSE,FALSE
13,request,51.4,0.25,0.25,0,14,FALSE,FALSE
4,request,50.1,0.49,0.49,0,5,FALSE,FALSE
8,offer,47.1,0.11,0.11,0,9,FALSE,TRUE
,,,5.8,,,,,
