Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
12,request,57.7,0.25,0,13,TRUE,14,offer,53.6,0.25,0,0.25,15,TRUE,1.025
10,offer,41.5,0.76,0.76,11,FALSE,2,request,63.6,0.47,0,0.47,3,TRUE,10.387
6,request,52.8,0.96,0.96,7,FALSE,3,offer,48.7,0.33,0,0.33,4,TRUE,1.353
7,request,51.8,1.19,1.19,8,FALSE,5,offer,46.8,0.33,0,0.33,6,TRUE,1.65
1,offer,43.9,0.24,0,2,TRUE,6,request,52.8,0.96,0.63,0.24,7,FALSE,2.136
13,request,51.4,0.25,0,14,TRUE,10,offer,41.5,0.76,0.29,0.25,11,FALSE,2.475
4,request,50.1,0.49,0.49,5,FALSE,11,offer,49.6,0.12,0,0.12,12,TRUE,0.06
8,offer,47.1,0.11,0,9,TRUE,7,request,51.8,1.19,0.86,0.11,8,FALSE,0.517
9,offer,50.2,0.05,0,10,TRUE,6,request,52.8,0.96,0.39,0.05,7,FALSE,0.13
6,request,52.8,0.96,0.34,7,FALSE,10,offer,41.5,0.76,3.47E-17,0.04,11,TRUE,0.452
,,,,,,,,,,,,2.19,,,20.185
