Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
12,request,57.7,0.25,0,13,TRUE,14,offer,53.6,0.25,0,0.25,15,TRUE,1.025
10,offer,41.5,0.76,0.76,11,FALSE,2,request,63.6,0.47,0,0.47,3,TRUE,10.387
6,request,52.8,0.96,0.96,7,FALSE,9,offer,50.2,0.05,0,0.05,10,TRUE,0.13
7,request,51.8,1.19,1.19,8,FALSE,11,offer,49.6,0.12,0,0.12,12,TRUE,0.264
1,offer,43.9,0.24,0,2,TRUE,7,request,51.8,1.19,1.07,0.24,8,FALSE,1.896
13,request,51.4,0.25,0,14,TRUE,3,offer,48.7,0.33,0.33,0.25,4,FALSE,0.675
4,request,50.1,0.49,0.49,5,FALSE,3,offer,48.7,0.33,1.39E-17,0.08,4,TRUE,0.112
8,offer,47.1,0.11,0,9,TRUE,4,request,50.1,0.49,0.41,0.11,5,FALSE,0.33
10,offer,41.5,0.76,5.55E-17,11,TRUE,4,request,50.1,0.49,0.3,0.29,5,FALSE,2.494
5,offer,46.8,0.33,0.33,6,FALSE,4,request,50.1,0.49,8.67E-18,0.01,5,TRUE,0.033
5,offer,46.8,0.33,0,6,TRUE,7,request,51.8,1.19,0.83,0.32,8,FALSE,1.6
,,,,,,,,,,,,2.19,,,18.946
