Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
14,offer,47.6,0.16,0,15,TRUE,1,request,59.1,0.36,0.36,0.16,2,FALSE,1.84
3,offer,41.6,0.08,0,4,TRUE,1,request,59.1,0.36,0.2,0.08,2,FALSE,1.4
5,offer,54.5,0.07,0,6,TRUE,1,request,59.1,0.36,0.12,0.07,2,FALSE,0.322
13,offer,54.3,0.04,0,14,TRUE,9,request,54.7,0.14,0.14,0.04,10,FALSE,0.016
6,offer,44.1,0.7,0.7,7,FALSE,2,request,54.7,0.49,0,0.49,3,TRUE,5.194
10,request,64.4,1.04,1.04,11,FALSE,6,offer,44.1,0.7,-2.78E-17,0.21,7,TRUE,4.263
7,offer,49.8,0.04,0,8,TRUE,9,request,54.7,0.14,0.1,0.04,10,FALSE,0.196
12,offer,41.9,0.11,0,13,TRUE,4,request,51.4,0.48,0.48,0.11,5,FALSE,1.045
11,offer,50.5,0.16,0,12,TRUE,4,request,51.4,0.48,0.37,0.16,5,FALSE,0.144
,,,,,,,,,,,,1.36,,,14.42
